comp101105_c0_seq1.p1	5.22e-10	58.2
comp101562_c0_seq1.p1	7.64e-22	93.6
comp102249_c0_seq1.p1	4.41e-04	44.7
comp102249_c2_seq1.p1	1.36e-04	43.9
comp103752_c0_seq1.p1	2.42e-68	208
comp103997_c0_seq1.p1	4.63e-24	94.0
comp107949_c0_seq1.p1	2.04e-86	273
comp111870_c0_seq1.p1	1.19e-56	188
comp112266_c0_seq1.p2	1.00e-22	95.1
comp112907_c0_seq1.p1	1.85e-05	46.2
comp113415_c0_seq1.p1	1.51e-18	83.2
comp113562_c0_seq1.p1	9.71e-49	179
comp113562_c1_seq1.p1	6.49e-41	138
comp113769_c0_seq1.p1	9.94e-13	67.0
comp114101_c0_seq1.p1	6.99e-40	147
comp114101_c1_seq1.p1	6.12e-117	343
comp115104_c0_seq1.p1	4.06e-84	268
comp115104_c1_seq1.p1	1.68e-99	294
comp115826_c0_seq1.p1	1.45e-12	72.0
comp116123_c0_seq1.p1	1.25e-91	291
comp116123_c1_seq1.p1	1.05e-23	100
comp116585_c0_seq1.p1	2.32e-19	87.4
comp118768_c0_seq1.p1	1.35e-06	49.3
comp119375_c1_seq1.p1	4.18e-88	265
comp119876_c0_seq1.p1	2.94e-34	130
comp120399_c0_seq1.p1	1.14e-42	158
comp120503_c0_seq1.p1	2.46e-49	168
comp120503_c0_seq3.p1	3.25e-21	90.9
comp121836_c2_seq1.p1	5.91e-88	272
comp122841_c0_seq1.p1	2.82e-39	145
comp123271_c0_seq1.p1	4.42e-34	130
comp123425_c0_seq3.p1	2.60e-28	118
comp124051_c0_seq1.p1	2.83e-31	121
comp124051_c1_seq1.p1	1.96e-21	95.9
comp125061_c0_seq1.p1	8.62e-53	174
comp125061_c1_seq1.p1	1.90e-32	117
comp125061_c2_seq1.p1	1.37e-51	166
comp125683_c0_seq1.p1	2.09e-07	53.1
comp125683_c1_seq1.p1	3.62e-21	97.8
comp125855_c1_seq1.p1	6.05e-07	50.4
comp126864_c0_seq2.p1	3.97e-48	189
comp127555_c1_seq1.p1	4.52e-46	165
comp128064_c0_seq1.p1	1.42e-40	141
comp128064_c1_seq1.p1	3.02e-11	64.7
comp129031_c0_seq1.p1	7.57e-37	148
comp129392_c0_seq1.p1	6.98e-27	108
comp129721_c0_seq1.p1	2.44e-212	597
comp130084_c1_seq1.p1	7.66e-112	335
comp130745_c0_seq1.p1	4.05e-04	46.6
comp130745_c0_seq2.p2	1.37e-04	46.6
comp130844_c1_seq1.p1	4.33e-20	91.7
comp131058_c0_seq2.p1	1.05e-04	48.9
comp132661_c0_seq2.p1	1.98e-12	67.8
comp132661_c1_seq1.p1	2.83e-44	163
comp132689_c1_seq1.p1	4.20e-04	48.1
comp133517_c0_seq10.p1	1.14e-129	385
comp133517_c0_seq12.p1	1.84e-76	243
comp133517_c0_seq6.p1	6.05e-125	372
comp133517_c0_seq8.p1	4.17e-83	256
comp133995_c0_seq1.p1	1.11e-36	152
comp134670_c0_seq2.p1	1.86e-112	347
comp134670_c0_seq3.p1	9.64e-47	159
comp135003_c0_seq2.p1	2.70e-25	103
comp135003_c1_seq1.p1	5.53e-123	364
comp135174_c0_seq1.p1	1.81e-240	691
comp135889_c0_seq1.p1	2.14e-43	175
comp136088_c0_seq1.p1	2.65e-52	190
comp136416_c1_seq2.p1	9.96e-38	150
comp136835_c0_seq1.p1	8.14e-05	48.5
comp169569_c0_seq1.p1	2.03e-04	43.1
