Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Protein families	Subcellular location [CC]	Pfam	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (molecular function)	Gene Ontology IDs
A0A0X3NVZ4	unreviewed	A0A0X3NVZ4_SCHSO	ATP receptor (Purinergic receptor)	P2RX4 TR137382	Schistocephalus solidus (Tapeworm)	477	P2X receptor family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.		response to ATP [GO:0033198]	integral component of plasma membrane [GO:0005887]; postsynapse [GO:0098794]	ATP binding [GO:0005524]; extracellularly ATP-gated cation channel activity [GO:0004931]; purinergic nucleotide receptor activity [GO:0001614]	GO:0001614; GO:0004931; GO:0005524; GO:0005887; GO:0033198; GO:0098794
A0A3S5B6C1	unreviewed	A0A3S5B6C1_9PLAT	ATP receptor (Purinergic receptor)	PXEA_LOCUS31245	Protopolystoma xenopodis	452	P2X receptor family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.		response to ATP [GO:0033198]	integral component of plasma membrane [GO:0005887]; postsynapse [GO:0098794]	ATP binding [GO:0005524]; extracellularly ATP-gated cation channel activity [GO:0004931]; purinergic nucleotide receptor activity [GO:0001614]	GO:0001614; GO:0004931; GO:0005524; GO:0005887; GO:0033198; GO:0098794
A0A4E0RBP6	unreviewed	A0A4E0RBP6_FASHE	ATP receptor (Purinergic receptor)	D915_004370	Fasciola hepatica (Liver fluke)	463	P2X receptor family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.		response to ATP [GO:0033198]	integral component of plasma membrane [GO:0005887]; postsynapse [GO:0098794]	ATP binding [GO:0005524]; extracellularly ATP-gated cation channel activity [GO:0004931]; purinergic nucleotide receptor activity [GO:0001614]	GO:0001614; GO:0004931; GO:0005524; GO:0005887; GO:0033198; GO:0098794
A0A4V3SD59	unreviewed	A0A4V3SD59_OPIFE	ATP receptor (Purinergic receptor)	CRM22_009039	Opisthorchis felineus	432	P2X receptor family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.		response to ATP [GO:0033198]	integral component of plasma membrane [GO:0005887]; postsynapse [GO:0098794]	ATP binding [GO:0005524]; extracellularly ATP-gated cation channel activity [GO:0004931]; purinergic nucleotide receptor activity [GO:0001614]	GO:0001614; GO:0004931; GO:0005524; GO:0005887; GO:0033198; GO:0098794
A0A654HDA5	unreviewed	A0A654HDA5_9CEST	ATP receptor (Purinergic receptor)	SPRV2_LOCUS10894	Sparganum proliferum	477	P2X receptor family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.		response to ATP [GO:0033198]	integral component of plasma membrane [GO:0005887]; postsynapse [GO:0098794]	ATP binding [GO:0005524]; extracellularly ATP-gated cation channel activity [GO:0004931]; purinergic nucleotide receptor activity [GO:0001614]	GO:0001614; GO:0004931; GO:0005524; GO:0005887; GO:0033198; GO:0098794
A0A7M3RFP8	unreviewed	A0A7M3RFP8_SPIER	ATP receptor (Purinergic receptor)	SERJ2_LOCUS20691	Spirometra erinaceieuropaei (Tapeworm) (Spirometra erinacei)	496	P2X receptor family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.		response to ATP [GO:0033198]	integral component of plasma membrane [GO:0005887]; postsynapse [GO:0098794]	ATP binding [GO:0005524]; extracellularly ATP-gated cation channel activity [GO:0004931]; purinergic nucleotide receptor activity [GO:0001614]	GO:0001614; GO:0004931; GO:0005524; GO:0005887; GO:0033198; GO:0098794
C1LKL9	unreviewed	C1LKL9_SCHJA	ATP receptor (Purinergic receptor)	P2X4 EWB00_009839	Schistosoma japonicum (Blood fluke)	436	P2X receptor family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.		response to ATP [GO:0033198]	integral component of plasma membrane [GO:0005887]; postsynapse [GO:0098794]	ATP binding [GO:0005524]; extracellularly ATP-gated cation channel activity [GO:0004931]; purinergic nucleotide receptor activity [GO:0001614]	GO:0001614; GO:0004931; GO:0005524; GO:0005887; GO:0033198; GO:0098794
Q65A65	unreviewed	Q65A65_SCHMA	ATP receptor (Purinergic receptor)	schP2X	Schistosoma mansoni (Blood fluke)	437	P2X receptor family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.		response to ATP [GO:0033198]	integral component of plasma membrane [GO:0005887]; postsynapse [GO:0098794]	ATP binding [GO:0005524]; extracellularly ATP-gated cation channel activity [GO:0004931]; purinergic nucleotide receptor activity [GO:0001614]	GO:0001614; GO:0004931; GO:0005524; GO:0005887; GO:0033198; GO:0098794
T1EEK9	unreviewed	T1EEK9_HELRO	Neuronal acetylcholine receptor subunit alpha-7	20195011 HELRODRAFT_108613	Helobdella robusta (Californian leech)	493	Ligand-gated ion channel (TC 1.A.9) family	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}. Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}. Postsynaptic cell membrane {ECO:0000256|ARBA:ARBA00034104}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00034104}. Synaptic cell membrane {ECO:0000256|ARBA:ARBA00034099}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00034099}.	PF02931;PF02932;	chemical synaptic transmission [GO:0007268]; ion transmembrane transport [GO:0034220]; nervous system process [GO:0050877]; regulation of membrane potential [GO:0042391]; signal transduction [GO:0007165]	anchoring junction [GO:0070161]; integral component of plasma membrane [GO:0005887]; neuron projection [GO:0043005]; postsynaptic membrane [GO:0045211]; synapse [GO:0045202]	acetylcholine-gated cation-selective channel activity [GO:0022848]; excitatory extracellular ligand-gated ion channel activity [GO:0005231]; neurotransmitter receptor activity [GO:0030594]; transmembrane signaling receptor activity [GO:0004888]; transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential [GO:1904315]	GO:0004888; GO:0005231; GO:0005887; GO:0007165; GO:0007268; GO:0022848; GO:0030594; GO:0034220; GO:0042391; GO:0043005; GO:0045202; GO:0045211; GO:0050877; GO:0070161; GO:1904315
A0A068WBN0	unreviewed	A0A068WBN0_ECHGR	Nicotinic acetylcholine receptor alpha subunit	EgrG_000984000	Echinococcus granulosus (Hydatid tapeworm)	536	Ligand-gated ion channel (TC 1.A.9) family	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}. Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}. Postsynaptic cell membrane {ECO:0000256|ARBA:ARBA00034104}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00034104}. Synaptic cell membrane {ECO:0000256|ARBA:ARBA00034099}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00034099}.	PF02931;PF02932;		anchoring junction [GO:0070161]; integral component of membrane [GO:0016021]; postsynaptic membrane [GO:0045211]	acetylcholine-gated cation-selective channel activity [GO:0022848]; transmembrane signaling receptor activity [GO:0004888]	GO:0004888; GO:0016021; GO:0022848; GO:0045211; GO:0070161
