seq.id	Class	Species	alignment.start	alignment.end	envelope.start	envelope.end	LGIC.Family	hmm.acc	hmm.name	type	hmm.start	hmm.end	hmm.length	bit.score	E.value	significance	clan
augustus_masked-agouti_scaf_310-processed-gene-0.2-mRNA-1	Trematoda	Atriophallophorus_winterbourni	40	260	32	262	Cys-loop family	PF02931.26	Neur_chan_LBD	Family	9	215	217	127.5	2.90E-40	1	No_clan
augustus_masked-agouti_scaf_310-processed-gene-0.2-mRNA-1	Trematoda	Atriophallophorus_winterbourni	270	383	269	428	Cys-loop family	PF02932.19	Neur_chan_memb	Family	2	111	238	74.3	9.50E-24	1	No_clan
augustus_masked-jcf7180000219633-processed-gene-1.11-mRNA-1	Trematoda	Atriophallophorus_winterbourni	19	524	19	524	ASIC family	PF00858.27	ASC	Family	1	445	445	160.1	5.20E-50	1	No_clan
augustus_masked-jcf7180000225870-processed-gene-0.2-mRNA-1	Trematoda	Atriophallophorus_winterbourni	72	281	70	282	Cys-loop family	PF02931.26	Neur_chan_LBD	Family	3	216	217	150.7	2.30E-47	1	No_clan
augustus_masked-jcf7180000225870-processed-gene-0.2-mRNA-1	Trematoda	Atriophallophorus_winterbourni	289	404	289	418	Cys-loop family	PF02932.19	Neur_chan_memb	Family	1	117	238	78.2	5.80E-25	1	No_clan
augustus_masked-jcf7180000225870-processed-gene-0.2-mRNA-1	Trematoda	Atriophallophorus_winterbourni	427	471	396	471	Cys-loop family	PF02932.19	Neur_chan_memb	Family	194	238	238	15.2	1.00E-05	0	No_clan
augustus_masked-jcf7180000276596-processed-gene-0.2-mRNA-1	Trematoda	Atriophallophorus_winterbourni	2	449	1	449	ASIC family	PF00858.27	ASC	Family	72	445	445	136.8	6.40E-43	1	No_clan
augustus_masked-jcf7180000277226-processed-gene-0.0-mRNA-1	Trematoda	Atriophallophorus_winterbourni	45	566	45	566	ASIC family	PF00858.27	ASC	Family	1	445	445	162.8	8.10E-51	1	No_clan
augustus_masked-scf7180006950230-processed-gene-0.0-mRNA-1	Monopisthocotylea	Gyrodactylus_salaris	14	90	1	91	ASIC family	PF00858.27	ASC	Family	350	444	445	29	3.30E-10	1	No_clan
BOX15_Mlig000209g3	Free-living	Macrostomum_lignano	95	367	81	412	ASIC family	PF00858.27	ASC	Family	60	375	445	100.5	6.40E-32	1	No_clan
BOX15_Mlig000461g1	Free-living	Macrostomum_lignano	37	244	35	244	Cys-loop family	PF02931.26	Neur_chan_LBD	Family	3	217	217	219.6	1.90E-68	1	No_clan
BOX15_Mlig000461g1	Free-living	Macrostomum_lignano	251	514	251	515	Cys-loop family	PF02932.19	Neur_chan_memb	Family	1	237	238	245.8	3.70E-76	1	No_clan
BOX15_Mlig000841g2	Free-living	Macrostomum_lignano	35	258	33	259	Cys-loop family	PF02931.26	Neur_chan_LBD	Family	3	216	217	153.5	3.30E-48	1	No_clan
BOX15_Mlig000841g2	Free-living	Macrostomum_lignano	266	376	266	382	Cys-loop family	PF02932.19	Neur_chan_memb	Family	1	112	238	69.9	2.00E-22	1	No_clan
BOX15_Mlig000841g6	Free-living	Macrostomum_lignano	79	252	72	260	Cys-loop family	PF02931.26	Neur_chan_LBD	Family	18	193	217	139.8	4.80E-44	1	No_clan
BOX15_Mlig000862g3	Free-living	Macrostomum_lignano	23	246	22	246	Cys-loop family	PF02931.26	Neur_chan_LBD	Family	2	217	217	245.6	2.10E-76	1	No_clan
BOX15_Mlig000862g3	Free-living	Macrostomum_lignano	253	514	253	515	Cys-loop family	PF02932.19	Neur_chan_memb	Family	1	237	238	274.8	5.10E-85	1	No_clan
BOX15_Mlig000966g1	Free-living	Macrostomum_lignano	29	550	27	550	ASIC family	PF00858.27	ASC	Family	4	445	445	108	3.40E-34	1	No_clan
BOX15_Mlig000989g5	Free-living	Macrostomum_lignano	234	792	234	792	ASIC family	PF00858.27	ASC	Family	1	445	445	190.8	2.50E-59	1	No_clan
BOX15_Mlig002193g1	Free-living	Macrostomum_lignano	368	793	350	793	ASIC family	PF00858.27	ASC	Family	140	445	445	101.9	2.50E-32	1	No_clan
BOX15_Mlig002294g2	Free-living	Macrostomum_lignano	26	132	25	133	iGluR family	PF10613.12	Lig_chan-Glu_bd	Domain	2	114	115	85.1	2.10E-27	1	CL0177
BOX15_Mlig002294g2	Free-living	Macrostomum_lignano	153	259	150	276	iGluR family	PF00060.29	Lig_chan	Family	4	99	149	64.7	5.00E-21	1	CL0030
BOX15_Mlig002809g2	Free-living	Macrostomum_lignano	9	542	9	542	ASIC family	PF00858.27	ASC	Family	1	445	445	184	2.90E-57	1	No_clan
BOX15_Mlig003120g3	Free-living	Macrostomum_lignano	44	528	44	528	ASIC family	PF00858.27	ASC	Family	1	445	445	240.5	2.20E-74	1	No_clan
BOX15_Mlig003611g1	Free-living	Macrostomum_lignano	74	246	50	247	Cys-loop family	PF02931.26	Neur_chan_LBD	Family	36	216	217	45.3	4.10E-15	1	No_clan
BOX15_Mlig003611g1	Free-living	Macrostomum_lignano	255	336	254	341	Cys-loop family	PF02932.19	Neur_chan_memb	Family	2	84	238	25.7	6.50E-09	0	No_clan
BOX15_Mlig003898g1	Free-living	Macrostomum_lignano	31	138	30	140	iGluR family	PF10613.12	Lig_chan-Glu_bd	Domain	2	113	115	104.1	2.80E-33	1	CL0177
BOX15_Mlig003898g1	Free-living	Macrostomum_lignano	159	430	157	430	iGluR family	PF00060.29	Lig_chan	Family	3	149	149	56.6	1.60E-18	1	CL0030
BOX15_Mlig004065g1	Free-living	Macrostomum_lignano	59	275	45	275	Cys-loop family	PF02931.26	Neur_chan_LBD	Family	12	217	217	199.1	3.50E-62	1	No_clan
BOX15_Mlig004065g1	Free-living	Macrostomum_lignano	282	513	282	513	Cys-loop family	PF02932.19	Neur_chan_memb	Family	1	238	238	165.4	1.30E-51	1	No_clan
