"ID"	"Match_Metazoa_evalue"	"Match_Protostomia_evalue"	"Match_Spiralia_evalue"	"Match_Lophotrochozoa_evalue"	"Match_Platyhelminthes_evalue"	"Match_Neodermata_evalue"	"Class"	"Species"	"hmm.acc"	"hmm.name"	"bit.score"	"E.value"	"Entry"	"Reviewed"	"Entry.Name"	"Protein.names"	"Gene.Names"	"Organism"	"Length"	"Protein.families"	"Subcellular.location..CC."	"Pfam"	"Gene.Ontology..biological.process."	"Gene.Ontology..cellular.component."	"Gene.Ontology..molecular.function."	"Gene.Ontology.IDs"	"LGIC.Family"	"Class.LGIC"
"augustus_masked-agouti_scaf_310-processed-gene-0.2-mRNA-1"	6.56e-75	7.22e-68	1.25e-79	2.14e-71	4.03e-110	1.85e-114	"Trematoda"	"Atriophallophorus_winterbourni"	"PF02931.26"	"Neur_chan_LBD"	127.5	2.9e-40	"A0A8J4WGJ0"	"unreviewed"	"A0A8J4WGJ0_9TREM"	"Cys loop ligand gated ion channel subunit"	"PHET_06218"	"Paragonimus heterotremus"	494	"Ligand-gated ion channel (TC 1.A.9) family"	"SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}."	"PF02931;PF02932;"	""	"integral component of membrane [GO:0016021]"	"extracellular ligand-gated ion channel activity [GO:0005230]; transmembrane signaling receptor activity [GO:0004888]"	"GO:0004888; GO:0005230; GO:0016021"	"Cys-loop family"	"Trematoda-Cys-loop family"
"augustus_masked-jcf7180000219633-processed-gene-1.11-mRNA-1"	2.16e-15	2.27e-19	1.9e-13	3.53e-28	1.68e-151	5.52e-220	"Trematoda"	"Atriophallophorus_winterbourni"	"PF00858.27"	"ASC"	160.1	5.2e-50	"A0A8T0DHP8"	"unreviewed"	"A0A8T0DHP8_9TREM"	"Uncharacterized protein"	"P879_04503"	"Paragonimus westermani"	673	""	""	""	""	""	""	""	"ASIC family"	"Trematoda-ASIC family"
"augustus_masked-jcf7180000225870-processed-gene-0.2-mRNA-1"	3.95e-75	1.66e-68	4.77e-67	2.7e-74	1.07e-171	1.7e-203	"Trematoda"	"Atriophallophorus_winterbourni"	"PF02931.26"	"Neur_chan_LBD"	150.7	2.3e-47	"A0A5J4NN47"	"unreviewed"	"A0A5J4NN47_9TREM"	"Glycine receptor alpha-2"	"DEA37_0005192"	"Paragonimus westermani"	544	"Ligand-gated ion channel (TC 1.A.9) family"	"SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}."	"PF02931;PF02932;"	""	"integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]"	"extracellular ligand-gated ion channel activity [GO:0005230]; transmembrane signaling receptor activity [GO:0004888]"	"GO:0004888; GO:0005230; GO:0005886; GO:0016021"	"Cys-loop family"	"Trematoda-Cys-loop family"
"augustus_masked-jcf7180000276596-processed-gene-0.2-mRNA-1"	2.12e-13	7.61e-11	4.54e-11	1.29e-19	2.92e-135	2.6e-126	"Trematoda"	"Atriophallophorus_winterbourni"	"PF00858.27"	"ASC"	136.8	6.4e-43	"A0A4Z2CZ76"	"unreviewed"	"A0A4Z2CZ76_SCHJA"	"FMRFamide-activated amiloride-sensitive sodium channel"	"EWB00_006254"	"Schistosoma japonicum (Blood fluke)"	724	"Amiloride-sensitive sodium channel (TC 1.A.6) family"	"SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}."	"PF00858;"	""	"integral component of membrane [GO:0016021]"	"sodium channel activity [GO:0005272]"	"GO:0005272; GO:0016021"	"ASIC family"	"Trematoda-ASIC family"
"augustus_masked-jcf7180000277226-processed-gene-0.0-mRNA-1"	6.32e-10	2.78e-09	5.06e-12	4.21e-24	2.83e-164	9.45e-203	"Trematoda"	"Atriophallophorus_winterbourni"	"PF00858.27"	"ASC"	162.8	8.1e-51	"H2KNG0"	"unreviewed"	"H2KNG0_CLOSI"	"FMRFamide-activated amiloride-sensitive sodium channel"	"CLF_100069"	"Clonorchis sinensis (Chinese liver fluke)"	643	"Amiloride-sensitive sodium channel (TC 1.A.6) family"	"SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}."	"PF00858;"	""	"integral component of membrane [GO:0016021]"	"sodium channel activity [GO:0005272]"	"GO:0005272; GO:0016021"	"ASIC family"	"Trematoda-ASIC family"
"augustus_masked-scf7180006950230-processed-gene-0.0-mRNA-1"	NA	NA	NA	NA	5.26e-20	4.55e-21	"Monopisthocotylea"	"Gyrodactylus_salaris"	"PF00858.27"	"ASC"	29	3.3e-10	"A0A183LCK6"	"unreviewed"	"A0A183LCK6_9TREM"	"Degenerin-like protein unc-105"	"SMRZ_LOCUS1531"	"Schistosoma margrebowiei"	704	""	""	""	""	""	""	""	"ASIC family"	"Monopisthocotylea-ASIC family"
"BOX15_Mlig000209g3"	1.92e-11	6.18e-05	NA	1.09e-08	0	1.59e-44	"Free-living"	"Macrostomum_lignano"	"PF00858.27"	"ASC"	100.5	6.4e-32	"A0A267FD09"	"unreviewed"	"A0A267FD09_9PLAT"	"Amiloride-sensitive sodium channel"	"BOX15_Mlig000209g3"	"Macrostomum lignano"	860	"Amiloride-sensitive sodium channel (TC 1.A.6) family"	"SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}."	"PF00858;"	""	"integral component of membrane [GO:0016021]"	"sodium channel activity [GO:0005272]"	"GO:0005272; GO:0016021"	"ASIC family"	"Free-living-ASIC family"
"BOX15_Mlig000461g1"	8.15e-135	1.33e-174	2.23e-144	1.92e-193	0	8.62e-153	"Free-living"	"Macrostomum_lignano"	"PF02931.26"	"Neur_chan_LBD"	219.6	1.9e-68	"A0A267F0H4"	"unreviewed"	"A0A267F0H4_9PLAT"	"Acetylcholine receptor subunit beta-like 1"	"BOX15_Mlig000461g1"	"Macrostomum lignano"	542	"Ligand-gated ion channel (TC 1.A.9) family"	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}. Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}. Postsynaptic cell membrane {ECO:0000256|ARBA:ARBA00034104}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00034104}. Synaptic cell membrane {ECO:0000256|ARBA:ARBA00034099}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00034099}."	"PF02931;PF02932;"	""	"anchoring junction [GO:0070161]; integral component of membrane [GO:0016021]; postsynaptic membrane [GO:0045211]"	"acetylcholine-gated cation-selective channel activity [GO:0022848]; transmembrane signaling receptor activity [GO:0004888]"	"GO:0004888; GO:0016021; GO:0022848; GO:0045211; GO:0070161"	"Cys-loop family"	"Free-living-Cys-loop family"
"BOX15_Mlig000841g2"	1.04e-72	1.06e-70	1.06e-73	2e-77	0	5.05e-148	"Free-living"	"Macrostomum_lignano"	"PF02931.26"	"Neur_chan_LBD"	153.5	3.3e-48	"A0A267FF10"	"unreviewed"	"A0A267FF10_9PLAT"	"Glycine receptor subunit alphaZ1"	"BOX15_Mlig000841g2 BOX15_Mlig000841g5"	"Macrostomum lignano"	474	"Ligand-gated ion channel (TC 1.A.9) family"	"SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}."	"PF02931;PF02932;"	""	"integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]"	"extracellular ligand-gated ion channel activity [GO:0005230]; transmembrane signaling receptor activity [GO:0004888]"	"GO:0004888; GO:0005230; GO:0005886; GO:0016021"	"Cys-loop family"	"Free-living-Cys-loop family"
"BOX15_Mlig000841g6"	7.86e-36	1.21e-38	1.59e-37	1.69e-39	6.36e-196	6.13e-71	"Free-living"	"Macrostomum_lignano"	"PF02931.26"	"Neur_chan_LBD"	139.8	4.8e-44	"A0A267FC71"	"unreviewed"	"A0A267FC71_9PLAT"	"Neur_chan_LBD domain-containing protein"	"BOX15_Mlig000841g6"	"Macrostomum lignano"	261	"Ligand-gated ion channel (TC 1.A.9) family"	"SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}."	"PF02931;"	""	"integral component of membrane [GO:0016021]"	"extracellular ligand-gated ion channel activity [GO:0005230]; transmembrane signaling receptor activity [GO:0004888]"	"GO:0004888; GO:0005230; GO:0016021"	"Cys-loop family"	"Free-living-Cys-loop family"
