ID	Match_Metazoa_evalue	Match_Protostomia_evalue	Match_Spiralia_evalue	Match_Lophotrochozoa_evalue	Match_Platyhelminthes_evalue	Match_Neodermata_evalue	Class	Species	hmm.acc	hmm.name	bit.score	E.value	Entry	Reviewed	Entry.Name	Protein.names	Gene.Names	Organism	Length	Protein.families	Subcellular.location..CC.	Pfam	Gene.Ontology..biological.process.	Gene.Ontology..cellular.component.	Gene.Ontology..molecular.function.	Gene.Ontology.IDs	LGIC.Family	Class.LGIC
augustus_masked-agouti_scaf_310-processed-gene-0.2-mRNA-1	74	67	79	71	109	114	Trematoda	Atriophallophorus_winterbourni	PF02931.26	Neur_chan_LBD	127.5	2.90E-40	A0A8J4WGJ0	unreviewed	A0A8J4WGJ0_9TREM	Cys loop ligand gated ion channel subunit	PHET_06218	Paragonimus heterotremus	494	Ligand-gated ion channel (TC 1.A.9) family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF02931;PF02932;		integral component of membrane [GO:0016021]	extracellular ligand-gated ion channel activity [GO:0005230]; transmembrane signaling receptor activity [GO:0004888]	GO:0004888; GO:0005230; GO:0016021	Cys-loop family	Trematoda-Cys-loop family
augustus_masked-jcf7180000219633-processed-gene-1.11-mRNA-1	15	19	13	27	151	219	Trematoda	Atriophallophorus_winterbourni	PF00858.27	ASC	160.1	5.20E-50	A0A8T0DHP8	unreviewed	A0A8T0DHP8_9TREM	Uncharacterized protein	P879_04503	Paragonimus westermani	673								ASIC family	Trematoda-ASIC family
augustus_masked-jcf7180000225870-processed-gene-0.2-mRNA-1	74	68	66	74	171	203	Trematoda	Atriophallophorus_winterbourni	PF02931.26	Neur_chan_LBD	150.7	2.30E-47	A0A5J4NN47	unreviewed	A0A5J4NN47_9TREM	Glycine receptor alpha-2	DEA37_0005192	Paragonimus westermani	544	Ligand-gated ion channel (TC 1.A.9) family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF02931;PF02932;		integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	extracellular ligand-gated ion channel activity [GO:0005230]; transmembrane signaling receptor activity [GO:0004888]	GO:0004888; GO:0005230; GO:0005886; GO:0016021	Cys-loop family	Trematoda-Cys-loop family
augustus_masked-jcf7180000276596-processed-gene-0.2-mRNA-1	13	10	10	19	135	126	Trematoda	Atriophallophorus_winterbourni	PF00858.27	ASC	136.8	6.40E-43	A0A4Z2CZ76	unreviewed	A0A4Z2CZ76_SCHJA	FMRFamide-activated amiloride-sensitive sodium channel	EWB00_006254	Schistosoma japonicum (Blood fluke)	724	Amiloride-sensitive sodium channel (TC 1.A.6) family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF00858;		integral component of membrane [GO:0016021]	sodium channel activity [GO:0005272]	GO:0005272; GO:0016021	ASIC family	Trematoda-ASIC family
augustus_masked-jcf7180000277226-processed-gene-0.0-mRNA-1	9	9	11	23	164	202	Trematoda	Atriophallophorus_winterbourni	PF00858.27	ASC	162.8	8.10E-51	H2KNG0	unreviewed	H2KNG0_CLOSI	FMRFamide-activated amiloride-sensitive sodium channel	CLF_100069	Clonorchis sinensis (Chinese liver fluke)	643	Amiloride-sensitive sodium channel (TC 1.A.6) family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF00858;		integral component of membrane [GO:0016021]	sodium channel activity [GO:0005272]	GO:0005272; GO:0016021	ASIC family	Trematoda-ASIC family
augustus_masked-scf7180006950230-processed-gene-0.0-mRNA-1	NA	NA	NA	NA	19	20	Monopisthocotylea	Gyrodactylus_salaris	PF00858.27	ASC	29	3.30E-10	A0A183LCK6	unreviewed	A0A183LCK6_9TREM	Degenerin-like protein unc-105	SMRZ_LOCUS1531	Schistosoma margrebowiei	704								ASIC family	Monopisthocotylea-ASIC family
BOX15_Mlig000209g3	11	4	NA	8	308	44	Free-living	Macrostomum_lignano	PF00858.27	ASC	100.5	6.40E-32	A0A267FD09	unreviewed	A0A267FD09_9PLAT	Amiloride-sensitive sodium channel	BOX15_Mlig000209g3	Macrostomum lignano	860	Amiloride-sensitive sodium channel (TC 1.A.6) family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF00858;		integral component of membrane [GO:0016021]	sodium channel activity [GO:0005272]	GO:0005272; GO:0016021	ASIC family	Free-living-ASIC family
BOX15_Mlig000461g1	134	174	144	193	308	152	Free-living	Macrostomum_lignano	PF02931.26	Neur_chan_LBD	219.6	1.90E-68	A0A267F0H4	unreviewed	A0A267F0H4_9PLAT	Acetylcholine receptor subunit beta-like 1	BOX15_Mlig000461g1	Macrostomum lignano	542	Ligand-gated ion channel (TC 1.A.9) family	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}. Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}. Postsynaptic cell membrane {ECO:0000256|ARBA:ARBA00034104}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00034104}. Synaptic cell membrane {ECO:0000256|ARBA:ARBA00034099}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00034099}.	PF02931;PF02932;		anchoring junction [GO:0070161]; integral component of membrane [GO:0016021]; postsynaptic membrane [GO:0045211]	acetylcholine-gated cation-selective channel activity [GO:0022848]; transmembrane signaling receptor activity [GO:0004888]	GO:0004888; GO:0016021; GO:0022848; GO:0045211; GO:0070161	Cys-loop family	Free-living-Cys-loop family
BOX15_Mlig000841g2	72	70	73	77	308	147	Free-living	Macrostomum_lignano	PF02931.26	Neur_chan_LBD	153.5	3.30E-48	A0A267FF10	unreviewed	A0A267FF10_9PLAT	Glycine receptor subunit alphaZ1	BOX15_Mlig000841g2 BOX15_Mlig000841g5	Macrostomum lignano	474	Ligand-gated ion channel (TC 1.A.9) family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF02931;PF02932;		integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	extracellular ligand-gated ion channel activity [GO:0005230]; transmembrane signaling receptor activity [GO:0004888]	GO:0004888; GO:0005230; GO:0005886; GO:0016021	Cys-loop family	Free-living-Cys-loop family
BOX15_Mlig000841g6	35	38	37	39	195	70	Free-living	Macrostomum_lignano	PF02931.26	Neur_chan_LBD	139.8	4.80E-44	A0A267FC71	unreviewed	A0A267FC71_9PLAT	Neur_chan_LBD domain-containing protein	BOX15_Mlig000841g6	Macrostomum lignano	261	Ligand-gated ion channel (TC 1.A.9) family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF02931;		integral component of membrane [GO:0016021]	extracellular ligand-gated ion channel activity [GO:0005230]; transmembrane signaling receptor activity [GO:0004888]	GO:0004888; GO:0005230; GO:0016021	Cys-loop family	Free-living-Cys-loop family
